sgRNA	Gene	R1_Unsorted	R2_Unsorted	R1_Selected	R2_Selected	R1_Negative	R2_Negative	R1_Low	R2_Low	R1_High	R2_High	PlasmidLib
Map3k15_p1_6	Map3k15_p1	942.7907016833597	1127.1593325036538	738.3632619173483	886.4339627938942	897.9272189147665	1029.7253246681705	897.1090358177485	1042.6154044525274	936.2761746349845	1131.6498383260066	858.8125060332272
Zfp131_p1_3	Zfp131_p1	350.5614868468014	227.15711037701186	624.0686747986355	539.1523794268261	361.13357001162194	158.9286674729009	395.7143260086142	180.36315590417607	295.57925089887516	281.6087155281307	634.2863606650632
Zbtb44_p2_10	Zbtb44_p2	420.291700851751	523.3239758052679	305.4598699986838	402.4273466051458	335.61869821732256	547.420965739992	354.6163989750786	528.2895018096511	351.72279576234865	550.1799905225516	355.4997301662596
Mbd2_p1_2	Mbd2_p1	390.6802401099231	879.8743769033624	564.3927399313429	630.758151417352	351.32015778304526	935.9132640070831	399.23700546863154	930.9066111183281	334.384348083923	910.0133492529409	583.7679779572263
Ascl2_p2_8	Ascl2_p2	695.3917232274425	947.4464287243723	621.0343052291121	769.7619347860604	479.8758579773998	589.3604752120075	619.9915849630513	914.6157454237573	603.5431072823401	1045.6027308035223	624.9311046080564
Zfp239_p1_1	Zfp239_p1	486.2010812125938	329.2340397236438	304.44841347550937	354.5735851175577	403.3312425945017	260.4664272472543	362.8359843817857	372.36264444733126	329.43050589008715	302.4686203820663	313.4010779097289
Nfe2l1_p1_1	Nfe2l1_p1	877.8365297335436	603.8353566983859	765.6725880430585	601.1343943059878	869.4683234518941	504.3777849660813	744.4595925503305	564.3621329904864	795.0916721106614	543.6612702556968	664.2231800474851
Kansl3_p1_11	Kansl3_p1	27.7010439197745	27.316361374450793	385.3649353294653	345.00283282004006	46.123037474310415	13.244055622741742	54.0144183869325	31.418098125243574	22.292289872261534	27.378625120790485	543.5403769120969
Plscr1_p2_12	Plscr1_p2	777.5396465757393	567.8927759425296	670.5956748646602	638.9616533866528	731.0992110289629	635.7146698916036	783.2090666105213	610.9074635464028	575.4713348506033	645.3533064186329	652.9968727790769
Tfap2c_p2_3	Tfap2c_p2	919.8656998187187	1003.5168547035081	970.9982622474716	878.686210933999	864.5616173376058	881.833370214221	874.798732570972	1051.9244705637107	894.9941563530186	1079.5000761911676	880.329594964343
Zfp938_p1_4	Zfp938_p1	590.3187980145049	424.12245291910443	624.0686747986355	571.9663873040294	526.9802366745679	462.4382754940658	495.52357737577205	388.65351014190196	601.0661861854221	414.5906089719702	539.7982744892943
Bclaf1_p1_12	Bclaf1_p1	385.90419805478956	244.4095491398229	454.1439789053279	487.6526170639932	255.14871794299376	311.2353071344309	340.5256811350092	371.1990111834333	341.81511137467686	264.660042834308	576.2837731116209
Arid1a_p1_9	Arid1a_p1	321.9052345160002	628.2763116123682	326.7004569853472	365.9673378526977	369.96564101734094	619.1596003631764	393.3658730352693	698.179958338746	259.25107481074525	509.7639248680514	288.14188655581046
Nkrf_p2_7	Nkrf_p2	209.1906420148488	490.25680150988	248.8183047009146	287.5783190349343	142.2944773143619	568.3907204759997	325.26073680826744	443.34427354510376	319.52282150241535	432.84302571916385	212.3643124940551
Xist_p1_3	Xist_p1	488.1114980346472	319.170117112004	300.40258738281153	309.45432428640316	584.8793688231704	374.14457134245424	499.0462568357894	333.9627467387002	198.15368775343586	301.1648763286953	239.4945550593749
BRDN0000737592	NT	285.6073148969854	182.58831023975003	368.1701744354997	285.2995684879063	234.54055226298274	268.19212636052026	287.6854892347492	154.76322409842206	274.11260139225294	212.510280699469	378.8878703087767
Tsc22d1_p2_3	Tsc22d1_p2	95.52084110267069	192.6522328513898	263.99015254853134	192.32654616916366	61.82449704003311	144.580940548264	120.9453281272619	175.70862284858444	105.68196680183246	213.81402475283997	240.4300806650756
