Gene	reporter	pval	fdr	lfc	norm_lfc	zfc
Nanog_p1	RE57M	1.2728652621001064e-7	1.3237798725841106e-5	-1.2173548839026929	-1.1867743122524415	1.4069875561977376
Nanog_p1	RE57R	0.42154818511093395	1	-0.015036282603103177	0.01554428904714813	-0.15604672697451144
Nanog_p1	RE58	0.058076995622101085	1	-0.5938206696954833	-0.563240098045232	0.5170545493035944
Nanog_p1	RE61	0.05423337030013438	1	-0.4337872329574128	-0.4032066613071615	0.4539157952120834
Nanog_p1	RE85	1.67242002893443e-10	1.8229378315385285e-8	-1.0382834558276706	-1.0077028841774194	0.9865226755210229
Nanog_p1	RE93	2.438981479252549e-5	0.0025609305532151763	-0.5206227031447257	-0.49004213149447434	0.8811549889289904
Nanog_p1	RE95	0.020349682146037495	1	-0.286201280309822	-0.2556207086595707	0.4258944902910081
Nanog_p1	RE96	0.3854810924156994	1	-0.057468694274699396	-0.026888122624448098	-0.14999631158047064
Nanog_p1	RE97	4.92943380818688e-4	0.05028022484350618	-0.4985480365242589	-0.4679674648740076	0.6382727104822734
Ncor1_p2	RE127	0.49785577823899474	1	-0.0438950095031477	-0.11513559223214195	0.13447971049174887
Ncor1_p2	RE57L	0.6775324056446802	1	-0.18509373819182748	-0.25633432092082176	0.059473674220493225
Ncor1_p2	RE57M	0.04033076173718724	1	0.17585873991836917	0.10461815718937492	-0.2991073401071937
Ncor1_p2	RE57R	0.43671153322902323	1	0.07563185163237619	0.00439126890338195	-0.1295077814438226
Ncor1_p2	RE58	0.17320520418364216	1	0.12933455220850726	0.05809396947951301	-0.27455200162238536
Ncor1_p2	RE61	0.718052583493995	1	-0.03538651337818163	-0.10662709610717587	-0.06608529419815831
Ncor1_p2	RE85	0.6900668459815906	1	-0.1194774745766569	-0.19071805730565114	-0.05201836754933776
Ncor1_p2	RE93	0.9461033108910812	1	0.05249860465083407	-0.01874197807816018	-0.01284624618826334
Ncor1_p2	RE95	0.04461985233462378	1	-0.18157072583453346	-0.2528113085635277	0.3915511147031312
Ncor1_p2	RE96	0.5335231958733277	1	0.004475146816677038	-0.0667654359123172	-0.09587088991027398
Ncor1_p2	RE97	0.3715975321146764	1	-0.10903825795684835	-0.1802788406858426	0.1424699085591687
Nfatc4_p1	RE127	0.2888917397221605	1	-0.1701641702402289	0.06068742103247403	-0.2167381081591493
Nfatc4_p1	RE57L	0.11344152022352438	1	-0.20635305356838726	0.024498537704315666	-0.22044407367529067
Nfatc4_p1	RE57M	0.0034511174901048873	0.276089399208391	-0.06503902320850263	0.1658125680642003	-0.40805712834757796
